Library_Name	Run	Sample_Name	geo_loc_name
6938	SRR1945774	6938	Russia
6940	SRR1945775	6940	Germany
6943	SRR1945776	6943	United Kingdom
6944	SRR1945777	6944	United Kingdom
6945	SRR1945778	6945	Netherlands
6951	SRR1945779	6951	Czech Republic
6956	SRR1945780	6956	Czech Republic
6957	SRR1945781	6957	Czech Republic
6958	SRR1945782	6958	France
6959	SRR1945783	6959	France
6960	SRR1945784	6960	France
6961	SRR1945785	6961	Spain
6963	SRR1945786	6963	Tajikistan
6966	SRR1945787	6966	United Kingdom
6967	SRR1945788	6967	United Kingdom
6968	SRR1945789	6968	Finland
6969	SRR1945790	6969	Finland
6970	SRR1945791	6970	Spain
6971	SRR1945792	6971	Spain
6973	SRR1945793	6973	Sweden
6974	SRR1945794	6974	Sweden
6975	SRR1945795	6975	Austria
6976	SRR1945796	6976	Austria
6979	SRR1945797	6979	Switzerland
6981	SRR1945798	6981	Russia
6982	SRR1945799	6982	Germany
6984	SRR1945800	6984	Czech Republic
6986	SRR1945801	6986	United Kingdom
6987	SRR1945802	6987	Germany
6989	SRR1945803	6989	United Kingdom
6990	SRR1945804	6990	Netherlands
6992	SRR1945805	6992	Belgium
6997	SRR1945806	6997	Netherlands
7000	SRR1945807	7000	Germany
7002	SRR1945808	7002	Netherlands
7003	SRR1945809	7003	Switzerland
7008	SRR1945810	7008	Netherlands
7013	SRR1945811	7013	Germany
7014	SRR1945812	7014	United Kingdom
7025	SRR1945813	7025	Italy
7026	SRR1945814	7026	United Kingdom
7028	SRR1945815	7028	Germany
7031	SRR1945816	7031	Germany
7033	SRR1945817	7033	USA
7036	SRR1945818	7036	Germany
7058	SRR1945819	7058	Ireland
7061	SRR1945820	7061	United Kingdom
7062	SRR1945821	7062	Germany
7063	SRR1945822	7063	Spain
7064	SRR1945823	7064	United Kingdom
7067	SRR1945824	7067	Italy
7068	SRR1945825	7068	Italy
7071	SRR1945826	7071	France
7072	SRR1945827	7072	Russia
7077	SRR1945828	7077	Portugal
7081	SRR1945829	7081	Portugal
7092	SRR1945830	7092	France
7094	SRR1945831	7094	Germany
7096	SRR1945832	7096	France
7102	SRR1945833	7102	Germany
7103	SRR1945834	7103	Czech Republic
7106	SRR1945835	7106	Germany
7107	SRR1945836	7107	United Kingdom
7109	SRR1945837	7109	United Kingdom
7111	SRR1945838	7111	United Kingdom
7117	SRR1945839	7117	Germany
7119	SRR1945840	7119	Germany
7120	SRR1945841	7120	Germany
7125	SRR1945842	7125	Germany
7126	SRR1945843	7126	Finland
7127	SRR1945844	7127	Estonia
7130	SRR1945845	7130	France
7133	SRR1945846	7133	Germany
7138	SRR1945847	7138	Germany
7143	SRR1945848	7143	Netherlands
7147	SRR1945849	7147	Germany
7158	SRR1945850	7158	Austria
7160	SRR1945851	7160	USA
7161	SRR1945852	7161	Germany
7162	SRR1945853	7162	Germany
7163	SRR1945854	7163	Germany
7164	SRR1945855	7164	Denmark
7165	SRR1945856	7165	Germany
7169	SRR1945857	7169	Germany
7177	SRR1945858	7177	Czech Republic
7181	SRR1945859	7181	Germany
7183	SRR1945860	7183	India
7186	SRR1945861	7186	Lithuania
7192	SRR1945862	7192	United Kingdom
7199	SRR1945863	7199	Germany
7202	SRR1945864	7202	Germany
7203	SRR1945865	7203	Germany
7207	SRR1945866	7207	Japan
7208	SRR1945867	7208	United Kingdom
7209	SRR1945868	7209	Poland
7213	SRR1945869	7213	Germany
7217	SRR1945870	7217	France
7218	SRR1945871	7218	Netherlands
7223	SRR1945872	7223	Germany
7231	SRR1945873	7231	Germany
7236	SRR1945874	7236	Lithuania
7244	SRR1945875	7244	Germany
7248	SRR1945876	7248	USA
7250	SRR1945877	7250	Germany
7255	SRR1945878	7255	Germany
7258	SRR1945879	7258	Germany
7268	SRR1945880	7268	Germany
7273	SRR1945881	7273	Germany
7276	SRR1945882	7276	Germany
7280	SRR1945883	7280	Germany
7282	SRR1945884	7282	Germany
7287	SRR1945885	7287	Germany
7288	SRR1945886	7288	Norway
7296	SRR1945887	7296	Russia
7298	SRR1945888	7298	Austria
7305	SRR1945889	7305	Germany
7306	SRR1945890	7306	Canada
7307	SRR1945891	7307	France
7314	SRR1945892	7314	United Kingdom
7316	SRR1945893	7316	Netherlands
7319	SRR1945894	7319	Italy
7320	SRR1945895	7320	France
7322	SRR1945896	7322	Russia
7323	SRR1945897	7323	Ukraine
7327	SRR1945898	7327	Spain
7328	SRR1945899	7328	Spain
7332	SRR1945900	7332	USA
7333	SRR1945901	7333	Italy
7337	SRR1945902	7337	Germany
7342	SRR1945903	7342	United Kingdom
7343	SRR1945904	7343	Germany
7344	SRR1945905	7344	Germany
7346	SRR1945906	7346	Germany
7347	SRR1945907	7347	Russia
7349	SRR1945908	7349	Czech Republic
7350	SRR1945909	7350	USA
7353	SRR1945910	7353	Netherlands
7354	SRR1945911	7354	Sweden
7356	SRR1945912	7356	USA
7358	SRR1945913	7358	USA
7359	SRR1945914	7359	USA
7372	SRR1945915	7372	Austria
